,,,Trial 1,Trial 2,Trial 3,Trial_Avg
Mush,MLP,Split 0.5,1.0,1.0,1.0,1.0
Mush,MLP,Split 0.8,0.9993846153846154,1.0,0.9993846153846154,0.9995897435897435
Mush,MLP,Split_Avg,0.9997948717948718,1.0,0.9997948717948718,0.9998632478632478
Mush,Perceptron,Split 0.2,1.0,1.0,1.0,1.0
Mush,Perceptron,Split 0.5,1.0,1.0,1.0,1.0
Mush,Perceptron,Split 0.8,1.0,1.0,1.0,1.0
Mush,Perceptron,Split_Avg,1.0,1.0,1.0,1.0
Mush,Random Forest,Split 0.2,1.0,1.0,1.0,1.0
Mush,Random Forest,Split 0.5,1.0,1.0,1.0,1.0
Mush,Random Forest,Split 0.8,1.0,1.0,1.0,1.0
Mush,Random Forest,Split_Avg,1.0,1.0,1.0,1.0
Mush,SVM,Split 0.2,1.0,1.0,1.0,1.0
Mush,SVM,Split 0.5,1.0,1.0,1.0,1.0
Mush,SVM,Split 0.8,0.9969230769230769,1.0,1.0,0.998974358974359
Mush,SVM,Split_Avg,0.998974358974359,1.0,1.0,0.9996581196581197
